rank	year	title
228	1938	Spring Is Here
229	1944	I'm Beginning to See the Light
230	1956	Just in Time
231	1941	Just Squeeze Me (But Don't Tease Me)
232	1933	What Is There to Say
233	1940	Cottontail
234	1934	Ill Wind
235	1934	You and the Night and the Music
236	1927	Ol' Man River
237	1941	Day Dream
238	1934	Stars Fell on Alabama
239	1928	St. James Infirmary
240	1937	Someday My Prince Will Come
241	1945	We'll Be Together Again
242	1946	Old Devil Moon
243	1930	You're Driving Me Crazy (What Did I Do?)
244	1937	That Old Feeling
245	1923	I Cried for You
246	1927	My Heart Stood Still
247	1935	Begin the Beguine
248	1959	All Blues
249	1932	Moten Swing
250	1942	I'm Old Fashioned
251	1932	Lullaby of the Leaves
252	1952	Invitation
253	1944	Don't Explain
254	1959	Giant Steps
255	1933	It's the Talk of the Town
256	1940	Flying Home
257	1931	Dancing in the Dark
258	1930	I'm Confessin' That I Love You
259	1917	Tiger Rag
260	1928	Crazy Rhythm
261	1952	That's All
262	1937	Once in a While
263	1959	Naima
264	1930	Them There Eyes
265	1947	Almost Like Being in Love
266	1931	As Time Goes By
267	1919	Indian Summer
268	1920	Margie
269	1927	Sugar (That Sugar Baby O' Mine)
270	1935	I Loves You Porgy
271	1947	Scrapple from the Apple
272	1942	I'll Be Around
273	1948	The Night Has a Thousand Eyes
274	1937	September in the Rain
275	1859	Jingle Bells
276	1965	The Shadow of Your Smile
277	1944	Good Bait
278	1927	Thou Swell
279	1953	It's All Right with Me
280	1954	Oleo
281	1926	Sunday
282	1896	When the Saints Go Marching In
283	1966	A Time for Love
284	1936	There's a Small Hotel
285	1926	I Know That You Know
286	1938	I Hadn't Anyone Till You
287	1958	Milestones
288	1922	China Boy
289	1938	Falling in Love with Love
290	1939	I Concentrate on You
291	1957	Li'l Darlin'
292	1941	My Ship
293	1954	Airegin
294	1941	Besame Mucho
295	1934	Deep Purple
296	1937	All God's Chillun Got Rhythm
297	1956	Whisper Not
298	1933	Close Your Eyes
299	1944	Long Ago (and Far Away)
300	1944	I Fall in Love Too Easily
301	1956	Con Alma
302	1925	Always
303	1925	I Never Knew
304	1956	I've Grown Accustomed to Her Face
305	1946	The Christmas Song
306	1910	King Porter Stomp
307	1943	My Shining Hour
308	1938	Jeepers Creepers
309	1945	Love Letters
310	1928	You Took Advantage of Me
311	1953	Secret Love
312	1945	I Wish I Knew
313	1944	Well You Needn't
314	1940	Soft Winds
315	1946	This Is Always
316	1945	Good Morning Heartache
317	1936	Until the Real Thing Comes Along
318	1945	The More I See You
319	1951	I'm a Fool to Want You
320	1929	Strike Up the Band
321	1952	Bemsha Swing
322	1950	Please Send Me Someone to Love
323	1969	A Child Is Born
324	1946	Born to Be Blue
325	1947	Midnight Sun
326	1934	Winter Wonderland
327	1938	Blue and Sentimental
328	1940	Will You Still Be Mine
329	1924	Fascinating Rhythm
330	1956	On the Street Where You Live
331	1931	When It's Sleepy Time Down South
332	1956	Never Let Me Go
333	1959	My Favorite Things
334	1936	Poinciana
335	1941	Bewitched
336	1937	The Lady Is a Tramp
337	1932	Isn't It Romantic
338	1926	Deed I Do
339	1927	Can't Help Lovin' Dat Man
340	1955	In the Wee Small Hours of the Morning
341	1949	Walkin'
342	1926	Muskrat Ramble
343	1954	Bags' Groove
344	1937	Too Marvelous for Words
345	1946	They Say It's Wonderful
346	1942	Epistrophy
347	1958	Rhythm-A-Ning
348	1940	When You Wish Upon a Star
349	1936	When Lights Are Low
350	1960	Work Song
351	1914	12th Street Rag
352	1954	Fly Me to the Moon (In Other Words)
353	1936	Where Are You
354	1945	Now's the Time
355	1945	Ruby My Dear
356	1954	All of You
357	1941	I'm Glad There Is You
358	1930	Fine and Dandy
359	1922	On the Alamo
360	1930	I Want a Little Girl
361	1924	It Had to Be You
362	1925	Remember
363	1945	I'm Just a Lucky So and So
364	1919	Someday Sweetheart
365	1934	As Long As I Live
366	1940	Broadway
367	1934	What a Difference a Day Made
368	1922	Way Down Yonder in New Orleans
369	1930	Rockin' in Rhythm
370	1929	Without a Song
371	1956	St. Thomas
372	1948	It's You or No One
373	1942	What Am I Here For
374	1934	You're My Thrill
375	1932	You Can Depend on Me
376	1932	Street of Dreams
377	1929	Why Was I Born
378	1932	Keepin' Out of Mischief Now
379	1930	My Ideal
380	1921	Jazz Me Blues
381	1929	Soon
382	1962	Corcovado (Quiet Nights of Quiet Stars)
383	1945	Hot House
384	1927	Hallelujah
385	1937	Topsy
386	1935	I Wished on the Moon
387	1940	All or Nothing At All
388	1949	Crazy He Calls Me
389	1949	Early Autumn
390	1950	From This Moment On
391	1956	Too Close for Comfort
392	1950	The End of a Love Affair
393	1931	You're My Everything
394	1953	Bernie's Tune
395	1942	You've Changed
396	1938	The Masquerade Is Over
397	1884	Dark Eyes
398	1944	A Flower Is a Lovesome Thing
399	1943	The Surrey with the Fringe on Top
400	1964	Watch What Happens
401	1921	There'll Be Some Changes Made
402	1954	Solar
403		Greensleeves
404	1940	White Christmas
405	1910	Some of These Days
406	1927	My Blue Heaven
407	1928	Coquette
408	1929	Louise
409	1926	Trouble in Mind
410	1938	Get Out of Town
411	1944	Passion Flower
412	1942	Raincheck
413	1922	Farewell Blues
414	1940	I Hear Music
415	1915	I Ain't Got Nobody (and Nobody Cares for Me)
416	1941	This Time the Dream's on Me
417	1934	Santa Claus Is Coming to Town
418	1956	Nica's Dream
419	1931	Who Cares? (So Long As You Care for Me)
420	1935	It Ain't Necessarily So
421	1955	Shiny Stockings
422	1953	Baubles, Bangles and Beads
423	1953	Cry Me a River
424	1955	Stablemates
425	1943	Travelin' Light
426	1959	Blue in Green
427	1936	A Fine Romance
428	1939	I'll Never Smile Again
429	1926	Blue Room
430		Dear Old Stockholm
431	1927	Why Do I Love You?
432	1929	Black and Blue
433	1944	52nd Street Theme
434	1944	Out of This World
435	1959	So What
436	1938	Jumpin' At the Woodside
437	1929	Rockin' Chair
438	1939	Frenesi
439	1939	Something to Live For
440	1944	Be-Bop
441	1927	Chloe
442	1945	Dream
443	1948	So in Love (Am I)
444	1953	Teach me Tonight
445	1944	The Night We Called It a Day
446	1914	They Didn't Believe Me
447	1928	The Breeze and I
448	1941	Air Mail Special
449	1932	You Are Too Beautiful
450	1941	How About You
451	1927	Back in Your Own Backyard
452	1944	Don't You Know I Care?
453	1938	I'll Be Seeing You
454	1923	Who's Sorry Now?
455	1940	I Could Write a Book
456	1946	For Heaven's Sake
457	1944	Have Yourself a Merry Little Christmas
458	1947	Lady Bird
459	1940	All Too Soon
460	1940	Fools Rush in (Where Angels Fear to Tread)
461	1941	Just A-Sittin' and A-Rockin'
462	1946	Ornithology
463	1916	Beale Street Blues
464	1931	I Don't Know Why (I Just Do)
465	1950	I've Never Been in Love Before
466	1950	If I Were a Bell
467	1946	Our Delight
468	1943	See See Rider
469	1927	Russian Lullaby
470	1962	The Good Life
471	1937	The Folks Who Live on the Hill
472	1921	My Man
473	1924	I'll See You in My Dreams
474	1936	The Touch of Your Lips
475	1951	Ask Me Now
476	1818	Silent Night, Holy Night
477	1957	Soul Eyes
478		Swing Low, Sweet Chariot
479	1963	The Girl from Ipanema
480	1933	Let's Fall in Love
481	1935	My Man's Gone Now
482	1922	Runnin' Wild
483	1946	Anthropology
484	1948	Misterioso
485	1941	When the Sun Comes Out
486	1929	Am I Blue
487	1930	I've Got a Crush on You
488	1948	Parker's Mood
489	1925	Manhattan
490	1948	Manteca
491	1934	If Dreams Come True
492	1851	Old Folks at Home
493	1911	Panama
494	1956	Pannonica
495	1947	In Walked Bud
496	1922	My Buddy
497	1948	Evidence
498	1910	Shine
499	1930	Bye Bye Blues
500	1944	I Didn't Know About You
501	1926	Birth of the Blues
502	1942	Main Stem
503	1939	Day In, Day Out
504	1939	Nuages
505	1918	Sometimes I feel Like a Motherless Child
506	1964	Emily
507	1924	Everybody Loves My Baby
508	1963	People
509	1934	All Through the Night
510	1949	Move
511	1954	Joy Spring
512	1956	Waltz for Debby
513	1918	At the Jazz Band Ball
514		Frankie and Johnny
515	1935	I'm Gonna Sit Right Down and Write Myself a Letter
516	1933	Carioca
517	1956	When Sunny Gets Blue
518	1944	There's No You
519	1928	The Peanut Vendor
520	1938	Swinging the Blues
521	1941	Don't Take Your Love from Me
522	1956	Until I Met You (Corner Pocket)
523	1951	Au Privave
524	1954	Smile
525	1933	You're Mine You
526	1937	Last Night When We Were Young
527	1935	It's Easy to Remember
528	1932	I Gotta Right to Sing the Blues
529	1947	Bouncin' with Bud
530	1939	The Lamp Is Low
531	1928	I'll Get By (As Long As I Have You)
532	1949	Afternoon in Paris
533	1961	One Note Samba
534	1934	(Ooh) What a Little Moonlight Can Do
535	1941	Goin' to Chicago Blues
536	1929	With a Song in My Heart
537	1954	Four
538		Nobody Knows the Trouble I've Seen
539	1935	Bess, You Is My Woman Now
540	1920	Whispering
541	1922	Chicago (That Toddlin' Town)
542	1946	Monk's Mood
543	1955	Blues in the Closet
544	1959	Sister Sadie
545	1966	Alfie
546	1940	Warm Valley
547	1917	Darktown Strutters Ball
548	1944	Blue 'N' Boogie
549	1940	Cabin in the Sky
550	1936	Pick Yourself Up
551	1934	Then I'll Be Tired of You
552	1963	How Insensitive
553	1953	I Love Paris
554	1945	Let It Snow! Let It Snow! Let It Snow!
555	1936	You Better Go Now
556	1928	Struttin' with Some Barbecue
557	1963	Blue Bossa
558	1956	Upper Manhattan Medical Group (UMMG)
559	1929	How Long, How Long Blues
560	1926	After I Say I'm Sorry
561	1954	Young and Foolish
562	1940	Seven Come Eleven
563	1956	Canadian Sunset
564	1928	I Must Have That Man
565	1959	Moanin'
566	1933	Drop Me off in Harlem
567	1950	Love You Madly
568	1931	(I'll Be Glad When You're Dead) You Rascal You
569	1948	No Moon At All
570	1957	All the Way
571	1914	That's a Plenty
572	1948	Detour Ahead
573	1936	Dedicated to You
574	1928	Lonesome Road
575	1938	A-Tisket, A-Tasket
576	1957	Moment's Notice
577	1930	Walkin' My Baby Back Home
578	1911	Alexander's Ragtime Band
579	1933	Everything I Have Is Yours
580	1931	Penthouse Serenade
581	1935	Lulu's Back in Town
582	1929	How Am I to Know?
583	1930	Just a Gigolo
584	1938	My Heart Belongs to Daddy
585	1934	Cocktails for Two
586	1938	Lullaby in Rhythm
587	1951	My Little Suede Shoes
588	1936	Christopher Columbus
589	1921	Dear Old Southland
590	1941	This Love of Mine
591	1957	Maria
592	1931	Beautiful Love
593	1918	Somebody Stole My Gal
594	1931	Blues in My Heart
595	1942	Dearly Beloved
596	1967	You Must Believe in Spring
597	1941	9:20 Special
598	1927	The Song Is Ended
599	1956	The Preacher
600	1935	Red Sails in the Sunset
601	1945	Shaw Nuff
602	1940	Blueberry Hill
603	1957	Birk's Works
604	1980	Love Dance
605	1975	The Peacocks
606	1966	Sunny
607	1925	Who
608	1971	The Summer Knows
609	1963	Watermelon Man
610	1959	Goodbye Pork Pie Hat
611	1965	Girl Talk
612	1928	Cherry
613	1915	Weary Blues
614	1923	Tin Roof Blues
615	1943	Tico Tico (Tico No Fuba)
616	1935	Let's Face the Music and Dance
617	1928	Nagasaki
618	1966	Footprints
619	1965	Yesterday
620	1950	Too Late Now
621	1941	'Tis Autumn
622	1944	Nancy (with the Laughing Face)
623	1947	Tin Tin Deo
624	1936	Sing, Sing, Sing
625	1947	I Mean You
626	1929	I May Be Wrong
627	1948	Barbados
628	1959	Killer Joe
629	1937	Azure
630	1948	On a Slow Boat to China
631	1939	Some Other Spring
632	1929	Can't We Be Friends
633	1959	Nardis
634	1930	Please Don't Talk About Me When I'm Gone
635	1951	Wonder Why
636	1931	I'm Thru with Love
637	1953	Ruby
638	1952	Night Train
639	1932	Say It Isn't So
640	1932	You're Blase
641	1933	On the Trail
642	1938	Baia
643	1954	Lazy Afternoon
644	1936	Shoe Shine Boy
645	1933	Under a Blanket of Blue
646	1960	The Second Time Around
647	1952	Trinkle Tinkle
648	1928	West End Blues
649		Danny Boy
650	1927	Ain't She Sweet
651		Deep River
652	1953	Tune Up
653	1922	Tain't Nobody's Business If I Do
654	1953	Jordu
655	1913	Peg O' My Heart
656	1960	Take Five
657	1946	Nobody Else but Me
658	1918	Ja-Da
659	1944	No More
660	1936	You Turned the Tables on Me
661	1939	I Get Along Without You Very Well
662	1933	Easter Parade
663	1932	Try a Little Tenderness
664	1928	Sonny Boy
665	1939	The Lady's in Love with You
666	1923	Linger Awhile
667	1926	In a Little Spanish Town
668	1894	Humoresque
669	1923	Wolverine Blues
670	1931	Prisoner of Love
671	1930	Dancing on the Ceiling
672	1937	I'll Take Romance
673	1920	Look for the Silver Lining
674	1936	Gloomy Sunday
675	1938	When a Woman Loves a Man
676	1939	It's a Blue World
677	1913	Ballin' the Jack
678	1938	You Leave Me Breathless
679	1940	Tickle Toe
680	1930	Little White Lies
681	1940	Strange Fruit
682	1931	Lazy River
683	1963	Once I Loved
684	1961	Moon River
685	1962	Meditation
686	1931	I'm Crazy 'Bout My Baby
687	1946	Do You Know What It Means to Miss New Orleans
688	1949	Lost in the Stars
689	1948	It's Magic
690	1924	How Come You Do Me Like You Do
691	1954	Doxy
692	1945	Stuffy
693	1942	Serenade in Blue
694	1965	Dindi
695	1945	Day By Day
696	1940	Tuxedo Junction
697	1938	Please Be Kind
698	1967	The Look of Love
699	1946	Moose the Mooche
700	1949	Allen's Alley
701	1954	A Sleepin' Bee
702	1929	I've Got a Feeling I'm Falling
703	1906	Chinatown My Chinatown
704	1956	The Party's Over
705	1951	Witchcraft
706	1952	Reflections
707	1973	Send in the Clowns
708	1959	A Felicidade
709	1960	Strollin'
710	1947	Robbin's Nest
711	1941	Squatty Roo
712	1949	Jumpin' with Symphony Sid
713	1959	Desafinado
714	1929	The Mooche
715	1921	Loveless Love
716	1945	Candy
717	1969	What Are You Doing the Rest of Your Life
718	1964	Isfahan
719	1956	Somewhere
720	1960	Estate
721	1942	Happiness Is a Thing Called Joe
722	1951	Unforgettable
723	1930	For You
724	1949	Be My Love
725	1912	Memphis Blues
726	1936	I Can't Escape from You
727	1959	Sidewinder
728	1941	Violets for Your Furs
729		God Rest Ye Merry Gentlemen
730	1957	Meaning of the Blues
731		Amazing Grace
732	1922	Rose of the Rio Grande
733	1948	Big Foot
734	1929	You Do Something to Me
735	1944	I'll Walk Alone
736	1936	Organ Grinder's Swing
737	1924	The One I Love (Belongs to Somebody Else)
738	1938	Jeep Is Jumpin'
739	1943	One for My Baby (And One More for the Road)
740	1938	Deep in a Dream
741	1927	Four or Five Times
742	1966	Dolphin Dance
743	1936	Goodnight My Love
744	1929	Blue Turning Grey Over You
745	1929	Green Eyes (Aquellos Ojos Verdes)
746	1932	My Silent Love
747	1930	You Brought a New Kind of Love to Me
748	1947	Relaxin' At Camarillo
749	1928	Together
750	1932	(I Would Do) Anything for You
751	1924	What'll I Do
752	1946	A Sunday Kind of Love
753	1929	I Guess I'll Have to Change My Plan
754	1934	Anything Goes
755	1955	Spring Can Really Hang You Up the Most
756	1937	You're a Sweetheart
757	1927	Davenport Blues
758	1964	Hello Dolly
759	1931	Guilty
760	1931	The Thrill Is Gone
761	1974	Everything Must Change
762	1937	Thanks for the Memory
763	1976	Isn't She Lovely
764	1954	Young At Heart
765	1955	Daahoud
766	1936	Let's Call the Whole Thing Off
767	1939	Jive At Five
768	1960	West Coast Blues
769	1963	More
770	1932	You're Getting to Be a Habit with Me
771	1961	Impressions
772	1959	Afro Blue
773	1941	Ev'rything I Love
774	1934	P.S. I Love You
775	1939	In the Mood
776	1933	Moon Song (That Wasn't Meant for Me)
777	1917	Smiles
778	1939	It's a Wonderful World
779	1931	The Hour of Parting
780	1946	Ray's Idea
781		Just a Closer Walk with Thee
782	1956	Namely You
783	1939	Oh You Crazy Moon
784	1936	Trust in Me
785	1946	The Things We Did Last Summer
786	1939	And the Angels Sing
787	1921	Careless Love
788	1945	If I Loved You
789	1950	The Best Thing for You
790	1958	Centerpiece
791	1919	Sugar Blues
792	1944	Sentimental Journey
793	1953	Un Poco Loco
794	1930	I'm Yours
795	1948	Portrait of Jennie
796	1941	Salt Peanuts
797	1928	Let's Do It (Let's Fall in Love)
798	1962	Monk's Dream
799	1947	Chasin' the Bird
800	1966	On a Clear Day (You Can See Forever)
801	1941	Jersey Bounce
802	1939	Comes Love
803	1940	Five O'clock Whistle
804	1940	A Nightingale Sang in Berkeley Square
805	1943	Is You Is or Is You Ain't My Baby?
806	1943	People Will Say We're in Love
807	1943	Harlem Nocturne
808	1967	Blood Count
809	1938	The Flat Foot Floogie
810	1953	Bloomdido
811	1945	Everything but You
812	1927	At Sundown
813	1926	Sugar Foot Stomp
814	1938	Roll 'Em
815	1938	Heart and Soul
816	1938	Sent for You Yesterday
817	1938	Two Sleepy People
818	1927	The Best Things in Life Are Free
819	1937	What Will I Tell My Heart
820	1954	Lament
821	1934	Love Is Just Around the Corner
822	1960	Exodus
823	1919	Fidgety Feet
824	1944	That Old Devil Called Love
825	1936	Glad to Be Unhappy
826	1917	Shim-Me-Sha-Wabble
827	1937	By Myself
828	1946	After Hours
829	1944	Star Crossed Lovers
830	1939	You're a Lucky Guy
831	1962	Sometime Ago
832	1954	Don't Go to Strangers
833	1955	The Duke
834	1944	Johnny Come Lately
835	1939	Tain't What You Do
836	1929	Deep Night
837	1927	Black and Tan Fantasy
838	1928	Marie
839	1936	Summer Night
840	1930	Cottage for Sale
841	1956	I Could Have Danced All Night
842	1942	Ev'rything I've Got (Belongs to You)
843	1924	Nobody's Sweetheart Now
844	1934	I'll String Along with You
845	1928	My Monday Date
846	1908	Shine on Harvest Moon
847	1979	Close Enough for Love
848	1946	You Make Me Feel so Young
849	1924	South
850	1934	Taboo
851	1947	Sippin' At Bell's
852	1938	It's Wonderful
853	1961	Stolen Moments
854	1961	Walk on By
855	1947	Red Top
856	1956	Fever
857	1934	Blame It on My Youth
858	1947	Ow!
859	1947	Dexterity
860	1954	The Man That Got Away
861	1927	Wild Man Blues
862	1938	My Reverie
863	1945	For Sentimental Reasons
864	1947	Maybe You'll Be There
865	1945	I'll Close My Eyes
866	1946	I Waited for You
867	1932	New Orleans
868	1950	Conception
869	1942	At Last
870	1941	Jim
871	1929	Yours Is My Heart Alone
872	1953	Bad and the Beautiful (Theme from the)
873	1922	My Honey's Lovin' Arms
874	1919	The World Is Waiting for the Sunrise
875	1955	Bohemia After Dark
876	1947	Off Minor
877	1943	You'll Never Know
878	1959	The Best Is Yet to Come
879	1967	Triste
880	1948	Haunted Heart
881	1944	Dizzy Atmosphere
882	1939	Moonlight Serenade
883	1964	Goin' Out of My Head
884	1936	I'm Putting All My Eggs in One Basket
885	1939	Perfidia
886	1947	Lotus Blossom
887	1963	Mas Que Nada
888	1944	I Ain't Got Nothin' but the Blues
889	1899	Maple Leaf Rag
890	1960	Make Someone Happy
891	1949	Serenata
892	1948	Black Coffee
893	1960	A Taste of Honey
894	1948	Half Nelson
895	1947	Cheryl
896	1936	I'm an Old Cowhand (From the Rio Grande)
897	1936	The Glory of Love
898	1948	Baby, It's Cold Outside
899	1946	Route 66
900	1941	Snowfall
901	1920	Aunt Hagar's Blues
902	1937	I See Your Face Before Me
903	1960	Equinox
904	1937	I've Got My Love to Keep Me Warm
905	1946	I Want to Talk About You
906	1934	The Continental
907	1942	Moonlight Becomes You
908	1942	Wait Till You See Her
909	1937	At Long Last Love
910	1941	Dream Dancing
911	1941	Brazil
912	1937	This Year's Kisses
913	1942	There Are Such Things
914	1941	Chattanooga Choo Choo
915	1922	(Please) Do It Again
916	1957	Tonight
917	1887	Away in a Manger
918	1924	All Alone
919	1940	You Are My Sunshine
920	1958	I Can't Stop Loving You
921	1930	Any Old Time
922	1930	My Baby Just Cares for Me
923	1959	Peace
924	1937	There's a Lull in My Life
925	1942	Stormy Monday Blues
926	1937	Change Partners
927	1936	They All Laughed
928	1951	Hello Young Lovers
929	1952	Kansas City
930	1941	Roll 'Em Pete
931	1938	Every Tub
932	1930	Ring Dem Bells
933	1941	Rocks in My Bed
934	1941	Let Me Off Uptown
935	1941	Jump for Joy
936	1927	Make Believe
937	1926	It All Depends on You
938	1952	Mambo Inn
939	1937	Rosalie
940	1934	You're the Top
941	1940	Fine and Mellow
942	1948	Four Brothers
943	1966	Christmas Time is Here
944	1937	Time Out
945	1967	What a Wonderful World
946	1937	So Rare
947	1913	You Made Me Love You
948	1943	Opus One
949	1940	Easy Does It
950	1936	All My Life
951	1944	Straighten Up and Fly Right
952	1965	Maiden Voyage
953	1928	The Creole Love Call
954	1929	Singin' in the Rain
955	1942	Idaho
956	1928	Sweethearts on Parade
957	1933	Temptation
958		Auld Lang Syne
959	1933	Heat Wave
960	1941	String of Pearls
961	1959	Smooth Sailing
962	1945	It's Been a Long, Long Time
963	1961	I Believe in You
964	1921	I'm Just Wild About Harry
965	1929	Pinetop's Boogie Woogie
966	1957	An Affair to Remember
967	1937	Bei Mir Bist Du Schoen
968	1954	Stranger in Paradise
969	1936	Echoes of Harlem
970	1938	Now It Can Be Told
971	1954	I Left My Heart in San Francisco
972	1955	Too Young to Go Steady
973	1924	When Day Is Done
974	1947	What Are You Doing New Year's Eve?
975	1902	Bill Bailey Won't You Please Come Home
976	1950	Every Day I Have the Blues
